description,name
adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code on android and ios apis and libraries exist to facilitate scheduling tasks to execute at a specified date time or interval on android the workmanager api allows asynchronous tasks to be scheduled with the system workmanager was introduced to unify task scheduling on android using jobscheduler gcmnetworkmanager and alarmmanager internally workmanager offers a lot of flexibility for scheduling including periodically one time or constraint based e g only when the device is charging citation android workmanager on ios the nsbackgroundactivityscheduler api allows asynchronous tasks to be scheduled with the system the tasks can be scheduled to be repeating or non repeating however the system chooses when the tasks will be executed the app can choose the interval for repeating tasks or the delay between scheduling and execution for one time tasks citation apple nsbackgroundactivityscheduler ,Scheduled Task/Job
adversaries may use code injection attacks to implant arbitrary code into the address space of a running application code is then executed or interpreted by that application adversaries utilizing this technique may exploit capabilities to load code in at runtime through dynamic libraries with root access ptrace can be used to target specific applications and load shared libraries into its process memory citation shunix code injection mar 2016 citation fadeev code injection aug 2018 by injecting code an adversary may be able to gain access to higher permissions held by the targeted application by executing as the targeted application in addition the adversary may be able to evade detection or enable persistent access to a system under the guise of the application s process citation google triada june 2019 ,Code Injection
adversaries may attempt to position themselves between two or more networked devices to support follow on behaviors such as transmitted data manipulation https attack mitre org techniques t1565 002 or endpoint denial of service https attack mitre org techniques t1642 adversary in the middle https attack mitre org techniques t1638 can be achieved through several mechanisms for example a malicious application may register itself as a vpn client effectively redirecting device traffic to adversary owned resources registering as a vpn client requires user consent on both android and ios additionally a special entitlement granted by apple is needed for ios devices alternatively a malicious application with escalation privileges may utilize those privileges to gain access to network traffic specific to android devices adversary in the disk is a type of aitm attack where adversaries monitor and manipulate data that is exchanged between applications and external storage citation mitd_kaspersky citation mitd_checkpoint citation mitd_checkpoint_research to accomplish this a malicious application firsts requests for access to multimedia files on the device read_external storage and write_external_storage then the application reads data on the device and or writes malware to the device though the request for access is common when used maliciously adversaries may access files and other sensitive data due to abusing the permission multiple applications were shown to be vulnerable against this attack however scrutiny of permissions and input validations may mitigate this attack outside of a mobile device adversaries may be able to capture traffic by employing a rogue base station or wi fi access point these devices will allow adversaries to capture network traffic after it has left the device while it is flowing to its destination on a local network enterprise techniques could be used such as arp cache poisoning https attack mitre org techniques t1557 002 or dhcp spoofing https attack mitre org techniques t1557 003 if applications properly encrypt their network traffic sensitive data may not be accessible to adversaries depending on the point of capture for example properly implementing apple s application transport security ats and android s network security configuration nsc may prevent sensitive data leaks citation nsc_android ,Adversary-in-the-Middle
adversaries may circumvent mechanisms designed to control elevated privileges to gain higher level permissions most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can gain on a machine authorization has to be granted to specific users in order to perform tasks that are designated as higher risk an adversary can use several methods to take advantage of built in control mechanisms in order to escalate privileges on a system ,Abuse Elevation Control Mechanism
adversaries may use legitimate remote access software such as vnc teamviewer airdroid airmirror etc to establish an interactive command and control channel to target mobile devices remote access applications may be installed and used post compromise as an alternate communication channel for redundant access or as a way to establish an interactive remote session with the target device they may also be used as a component of malware to establish a reverse connection to an adversary controlled system or service installation of remote access tools may also include persistence ,Remote Access Software
test,Malicious SMS Message
an adversary who is able to obtain unauthorized access to or misuse authorized access to cloud backup services e g google s android backup service or apple s icloud could use that access to obtain sensitive data stored in device backups for example the elcomsoft phone breaker product advertises the ability to retrieve ios backup data from apple s icloud citation elcomsoft eppb elcomsoft also describes citation elcomsoft whatsapp obtaining whatsapp communication histories from backups stored in icloud ,Obtain Device Cloud Backups
adversaries may include functionality in malware that uninstalls the malicious application from the device this can be achieved by abusing device owner permissions to perform silent uninstallation using device owner api calls abusing root permissions to delete files from the filesystem abusing the accessibility service this requires sending an intent to the system to request uninstallation and then abusing the accessibility service to click the proper places on the screen to confirm uninstallation ,Uninstall Malicious Application
adversaries may delete alter or hide generated artifacts on a device including files jailbreak status or the malicious application itself these actions may interfere with event collection reporting or other notifications used to detect intrusion activity this may compromise the integrity of mobile security solutions by causing notable events or information to go unreported ,Indicator Removal on Host
adversaries may manipulate products or product delivery mechanisms prior to receipt by a final consumer for the purpose of data or system compromise supply chain compromise can take place at any stage of the supply chain including manipulation of development tools manipulation of a development environment manipulation of source code repositories public or private manipulation of source code in open source dependencies manipulation of software update distribution mechanisms compromised infected system images replacement of legitimate software with modified versions sales of modified counterfeit products to legitimate distributors shipment interdiction while supply chain compromise can impact any component of hardware or software attackers looking to gain execution have often focused on malicious additions to legitimate software in software distribution or update channels targeting may be specific to a desired victim set or malicious software may be distributed to a broad set of consumers but only move on to additional tactics on specific victims popular open source projects that are used as dependencies in many applications may also be targeted as a means to add malicious code to users of the dependency specifically with the widespread usage of third party advertising libraries citation grace advertisement citation nowsecure remotecode ,Supply Chain Compromise
